"cell.line","ACE2","TMPRSS2","tissue"
"BHY",0.67282844,-5.046113158,"UPPER_AERODIGESTIVE_TRACT"
"BICR31",0.667917568,0.768992852,"UPPER_AERODIGESTIVE_TRACT"
"A253",0.616510144,-3.740041139,"SALIVARY_GLAND"
"SNU245",0.59724137,4.777474859,"BILIARY_TRACT"
"CCK81",0.585357892,4.339762081,"LARGE_INTESTINE"
"CL34",0.497468021,4.959432644,"LARGE_INTESTINE"
"ACHN",0.438571952,-6.474588876,"KIDNEY"
"SCC25",0.43149939,-9.232873229,"UPPER_AERODIGESTIVE_TRACT"
"MORCPR",0.426498184,-3.172970587,"LUNG"
"BICR56",0.400657067,-3.369545777,"UPPER_AERODIGESTIVE_TRACT"
"SNU503",0.385013057,-1.431604528,"LARGE_INTESTINE"
"HPAFII",0.375002299,3.370914709,"PANCREAS"
"RL952",0.361488974,0.350820511,"ENDOMETRIUM"
"COLO680N",0.359490867,-0.165099251,"OESOPHAGUS"
"HUH7",0.313837954,-3.158154863,"LIVER"
"OAW28",0.285583821,-0.016845029,"OVARY"
"AU565",0.257938226,2.180508499,"BREAST"
"NCIH2126",0.22438403,3.123209069,"LUNG"
"BT20",0.215885621,1.405991763,"BREAST"
"HT1197",0.211879237,0.240398888,"URINARY_TRACT"
"SCC15",0.125292537,0.288934349,"UPPER_AERODIGESTIVE_TRACT"
"UBLC1",0.122227516,1.405340288,"URINARY_TRACT"
"MDAMB468",0.087146197,4.691094725,"BREAST"
"SNU449",0.074019259,-6.082773351,"LIVER"
"LS513",0.067892864,4.722580967,"LARGE_INTESTINE"
"HCC56",0.06713069,4.74429463,"LARGE_INTESTINE"
"LOVO",0.056574546,3.538684608,"LARGE_INTESTINE"
"SET2",0.050755066,-6.753795079,"HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"
"KYSE510",0.0263176,0.136977818,"OESOPHAGUS"
