Gene,ACE2
HEC151_ENDOMETRIUM,0.0162
MSTO211H_PLEURA,0.0003
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0339
SKMEL1_SKIN,-0.0006
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.017
JHH7_LIVER,-0.0423
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0008
5637_URINARY_TRACT,0.0068
HCC38_BREAST,-1.6244
DU4475_BREAST,0.0217
NCIH1573_LUNG,-0.0109
NCIH508_LARGE_INTESTINE,-0.0016
NCIH1651_LUNG,0.4538
SKUT1_SOFT_TISSUE,0.0029
MDAMB175VII_BREAST,0.0006
SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0026
BECKER_CENTRAL_NERVOUS_SYSTEM,-0.0023
NCIH226_LUNG,-0.0155
NCIH1666_LUNG,-0.2159
SW1783_CENTRAL_NERVOUS_SYSTEM,0.0076
ISTMES1_PLEURA,0.0007
NCIH1734_LUNG,-0.2863
NCIH2342_LUNG,-0.4526
EBC1_LUNG,-0.8532
YMB1_BREAST,-0.0869
OC316_OVARY,-0.0371
HS936T_SKIN,-0.0081
T173_BONE,-0.0223
NCIH322_LUNG,0.0078
HS618T_LUNG,0.0081
HS870T_BONE,0.0153
HS706T_BONE,-0.0012
PANC1_PANCREAS,-0.6848
NCIH2291_LUNG,-0.1957
T47D_BREAST,0.6391
HS742T_BREAST,0.0049
BICR56_UPPER_AERODIGESTIVE_TRACT,0.0025
BICR16_UPPER_AERODIGESTIVE_TRACT,-0.1442
TE10_OESOPHAGUS,-0.3817
SKMEL28_SKIN,-0.0263
BICR6_UPPER_AERODIGESTIVE_TRACT,-0.0321
BHY_UPPER_AERODIGESTIVE_TRACT,-0.4353
AZ521_STOMACH,0.0362
SH4_SKIN,0.4161
KPL1_BREAST,-0.204
CGTHW1_THYROID,-0.5436
TUHR4TKB_KIDNEY,-0.0082
LS123_LARGE_INTESTINE,-0.1012
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0375
HPAC_PANCREAS,0.0077
RCC10RGB_KIDNEY,-0.0213
JHOM1_OVARY,0.0012
SU8686_PANCREAS,-0.0557
HCC33_LUNG,0.0552
TE6_OESOPHAGUS,-0.0172
JHOC5_OVARY,0.0175
ACCMESO1_PLEURA,-0.1536
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0292
SNU1214_UPPER_AERODIGESTIVE_TRACT,-0.0238
CORL105_LUNG,-0.0173
LMSU_STOMACH,0.9017
SNU1197_LARGE_INTESTINE,-0.3135
COLO668_LUNG,-0.0056
OSRC2_KIDNEY,0.0092
HUH6_LIVER,0.0552
PANC0203_PANCREAS,-0.2399
CJM_SKIN,0.5434
BICR22_UPPER_AERODIGESTIVE_TRACT,-0.0314
SHSY5Y_AUTONOMIC_GANGLIA,-0.0321
TM31_CENTRAL_NERVOUS_SYSTEM,-0.0094
SNU1272_KIDNEY,0.0028
KPNRTBM1_AUTONOMIC_GANGLIA,0.0038
BICR18_UPPER_AERODIGESTIVE_TRACT,-0.4593
TE4_OESOPHAGUS,-0.0365
PCM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0452
ECC10_STOMACH,-0.0047
TUHR14TKB_KIDNEY,-0.0007
YD15_SALIVARY_GLAND,-0.0127
UBLC1_URINARY_TRACT,
ECGI10_OESOPHAGUS,0.0784
CW2_LARGE_INTESTINE,0.12
SNU761_LIVER,-0.0341
SNU61_LARGE_INTESTINE,-0.1423
NCIH1915_LUNG,-0.031
SNU324_PANCREAS,-0.1362
YD10B_UPPER_AERODIGESTIVE_TRACT,-0.2577
HCC2279_LUNG,-0.2057
HLC1_LUNG,0.0117
TUHR10TKB_KIDNEY,0.0215
HEC1B_ENDOMETRIUM,-0.0212
VMRCLCP_LUNG,-0.0488
TGBC11TKB_STOMACH,-0.0086
OVK18_OVARY,-0.0088
SNU1077_ENDOMETRIUM,-0.005
HCC1588_LUNG,
SNU213_PANCREAS,-0.5523
HT115_LARGE_INTESTINE,0.0102
TE14_OESOPHAGUS,0.0026
TE8_OESOPHAGUS,-0.6537
SNU520_STOMACH,-0.0037
JHUEM3_ENDOMETRIUM,-0.0073
LI7_LIVER,0.0406
NCIH838_LUNG,-0.0294
SNU119_OVARY,-0.4669
SNU1033_LARGE_INTESTINE,-0.2628
SNUC5_LARGE_INTESTINE,-0.1242
GSS_STOMACH,-0.0332
TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0328
HCC1171_LUNG,-0.0693
SNUC4_LARGE_INTESTINE,0.0191
U138MG_CENTRAL_NERVOUS_SYSTEM,0.0149
SNU620_STOMACH,-1.8333
ECC12_STOMACH,-0.005
GSU_STOMACH,-0.1984
KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.2008
JHOM2B_OVARY,-0.0182
MDAMB231_BREAST,0.2675
OV90_OVARY,-0.0284
RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0253
OVTOKO_OVARY,0.0166
OVCAR4_OVARY,-0.608
HLF_LIVER,-0.0039
HCT15_LARGE_INTESTINE,0.0905
SW1463_LARGE_INTESTINE,0.1812
SF295_CENTRAL_NERVOUS_SYSTEM,-0.0085
WM115_SKIN,-0.0087
JHH4_LIVER,-0.0066
OE33_OESOPHAGUS,-0.1448
CCK81_LARGE_INTESTINE,0.156
JHH1_LIVER,-0.0309
SJSA1_BONE,-0.066
NCIH2228_LUNG,-0.1035
RERFLCAI_LUNG,0.0082
SKMES1_LUNG,-0.4797
NCIH520_LUNG,0.2435
JHH5_LIVER,-0.0089
FU97_STOMACH,0.5977
COLO800_SKIN,0.0287
NCIH1963_LUNG,-0.4684
RL952_ENDOMETRIUM,0.0153
J82_URINARY_TRACT,0.0133
HCC15_LUNG,-0.0157
M059K_CENTRAL_NERVOUS_SYSTEM,-0.0573
CALU6_LUNG,0.0187
SKLU1_LUNG,0.1615
SW900_LUNG,-0.1153
UACC62_SKIN,-0.0231
MFE280_ENDOMETRIUM,0.0452
MFE319_ENDOMETRIUM,0.0176
MFE296_ENDOMETRIUM,-0.0169
GOS3_CENTRAL_NERVOUS_SYSTEM,-0.0059
GI1_CENTRAL_NERVOUS_SYSTEM,0.0148
PC14_LUNG,-0.0785
KYSE410_OESOPHAGUS,0.0152
A204_SOFT_TISSUE,-0.0073
PATU8902_PANCREAS,0.3229
NCIH810_LUNG,0.0376
RERFLCMS_LUNG,0.2515
L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0164
DANG_PANCREAS,0.1968
NCIH460_LUNG,-0.0165
KYSE140_OESOPHAGUS,-0.3403
KYSE180_OESOPHAGUS,-0.273
HUPT3_PANCREAS,-0.0081
EFE184_ENDOMETRIUM,0.4325
GCIY_STOMACH,0.015
SH10TC_STOMACH,0.1089
CAOV4_OVARY,-0.0324
HCC2218_BREAST,-0.0326
KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0978
KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0007
KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0242
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0088
KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0106
KNS60_CENTRAL_NERVOUS_SYSTEM,-0.0882
KNS81_CENTRAL_NERVOUS_SYSTEM,0.0013
KPNSI9S_AUTONOMIC_GANGLIA,0.0356
LU99_LUNG,-0.0496
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.384
MKN1_STOMACH,-0.0029
MKN74_STOMACH,-0.4121
KP3_PANCREAS,0.001
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0348
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0704
HSC2_UPPER_AERODIGESTIVE_TRACT,-0.5115
KG1C_CENTRAL_NERVOUS_SYSTEM,-0.8257
HUH7_LIVER,0.9911
KMBC2_URINARY_TRACT,-0.003
KMRC20_KIDNEY,0.0224
HUCCT1_BILIARY_TRACT,-0.2066
KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0308
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0148
KALS1_CENTRAL_NERVOUS_SYSTEM,0.0054
HEC108_ENDOMETRIUM,-0.0255
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0512
HUH28_BILIARY_TRACT,-0.1625
CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-1.5558
HEC265_ENDOMETRIUM,0.0339
CAL12T_LUNG,-0.1476
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.1097
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.4932
SKNSH_AUTONOMIC_GANGLIA,0.0001
HCC1954_BREAST,0.1358
CAMA1_BREAST,-0.086
HEC6_ENDOMETRIUM,-1.0803
AM38_CENTRAL_NERVOUS_SYSTEM,0.1887
HEC50B_ENDOMETRIUM,-0.3155
HSC3_UPPER_AERODIGESTIVE_TRACT,-0.6116
HSC4_UPPER_AERODIGESTIVE_TRACT,-0.025
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0048
KP4_PANCREAS,0.5156
KE39_STOMACH,0.0895
COV504_OVARY,0.0377
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0846
VMRCRCW_KIDNEY,0.0029
HGC27_STOMACH,-0.7209
LUDLU1_LUNG,-0.7684
HUG1N_STOMACH,-0.6544
U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0019
NUGC4_STOMACH,-0.739
BGC823_STOMACH,0.3679
HMC18_BREAST,0.0623
CAS1_CENTRAL_NERVOUS_SYSTEM,-0.0102
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0993
CORL23_LUNG,-0.8037
MORCPR_LUNG,-0.2325
HARA_LUNG,-0.5468
SKOV3_OVARY,-0.0355
HPAFII_PANCREAS,-0.0532
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0756
NCIH1568_LUNG,-0.1427
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0197
A498_KIDNEY,-0.401
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0247
A673_BONE,0.0063
AU565_BREAST,0.5057
COLO201_LARGE_INTESTINE,-0.0924
CAPAN1_PANCREAS,-0.0515
NCIH1563_LUNG,-0.0175
NCIH358_LUNG,-0.0067
CFPAC1_PANCREAS,-0.1091
NIHOVCAR3_OVARY,-0.4492
NCIH1650_LUNG,-0.0611
NCIH1793_LUNG,0.0221
NCIH1437_LUNG,0.0035
KNS62_LUNG,-0.109
HS578T_BREAST,0.8064
BT20_BREAST,-0.5525
SNU182_LIVER,1.8697
SKNMC_BONE,-0.008
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0096
FADU_UPPER_AERODIGESTIVE_TRACT,0.7088
SJRH30_SOFT_TISSUE,0.6382
MDAMB361_BREAST,0.806
MDAMB436_BREAST,-0.7808
PANC0213_PANCREAS,0.093
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0074
RDES_BONE,-0.0052
CAL27_UPPER_AERODIGESTIVE_TRACT,-0.048
MESSA_SOFT_TISSUE,0.0216
SW1271_LUNG,-0.2964
NCIH1792_LUNG,1.291
GCT_SOFT_TISSUE,-0.1044
SKBR3_BREAST,0.5345
SNU16_STOMACH,0.0034
NCIH82_LUNG,0.0239
NCIN87_STOMACH,-0.0163
U2OS_BONE,-0.3938
H4_CENTRAL_NERVOUS_SYSTEM,-0.0048
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0515
HCC1143_BREAST,-1.3049
T24_URINARY_TRACT,0.0088
G401_SOFT_TISSUE,0.0073
HCC1937_BREAST,0.4784
HCC1569_BREAST,0.083
OCUM1_STOMACH,-0.2162
SAOS2_BONE,
D283MED_CENTRAL_NERVOUS_SYSTEM,-0.0185
SCC9_UPPER_AERODIGESTIVE_TRACT,-0.0267
HCC1395_BREAST,-0.5629
NMCG1_CENTRAL_NERVOUS_SYSTEM,-0.2123
TEN_ENDOMETRIUM,-0.1767
HS604T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0125
TE9_OESOPHAGUS,-0.0237
KNS42_CENTRAL_NERVOUS_SYSTEM,-0.0339
KYSE520_OESOPHAGUS,-0.55
KYSE270_OESOPHAGUS,0.0266
JHUEM1_ENDOMETRIUM,-0.0023
YH13_CENTRAL_NERVOUS_SYSTEM,-0.0372
IALM_LUNG,-0.3468
NCIH2052_PLEURA,1.0475
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.3115
SKNFI_AUTONOMIC_GANGLIA,0.0277
SKNAS_AUTONOMIC_GANGLIA,0.0217
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0098
SNU398_LIVER,0.0283
SNU423_LIVER,-0.088
SCC4_UPPER_AERODIGESTIVE_TRACT,-0.2975
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0435
HCC1187_BREAST,-0.9616
SNU387_LIVER,-0.0181
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0267
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.1015
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0026
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.7465
C2BBE1_LARGE_INTESTINE,0.0013
SKES1_BONE,-0.2346
EPLC272H_LUNG,0.0135
BXPC3_PANCREAS,-0.498
NCIH1355_LUNG,0.4965
SNU5_STOMACH,0.6638
SNU475_LIVER,0.0175
HEC251_ENDOMETRIUM,-0.1053
HCC95_LUNG,-0.9095
253J_URINARY_TRACT,
HCC1438_LUNG,
253JBV_URINARY_TRACT,
RPMI7951_SKIN,0.1962
SNU1066_UPPER_AERODIGESTIVE_TRACT,
SNU1041_UPPER_AERODIGESTIVE_TRACT,
HCC2108_LUNG,
COLO783_SKIN,-0.0064
HCC1359_LUNG,0.08
BICR31_UPPER_AERODIGESTIVE_TRACT,-0.0763
COV362_OVARY,-0.2698
COLO792_SKIN,-0.1026
COV434_OVARY,-0.0036
WM983B_SKIN,0.0402
HS751T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0016
LS513_LARGE_INTESTINE,0.026
NCIH2110_LUNG,-0.1582
CHAGOK1_LUNG,-0.0897
DMS454_LUNG,0.0292
CORL47_LUNG,0.0037
FTC238_THYROID,0.0347
DMS273_LUNG,-0.0041
FTC133_THYROID,-0.0014
CORL311_LUNG,-0.5071
NCIH2286_LUNG,-0.0176
NCIH1339_LUNG,-0.2825
WM793_SKIN,0.0152
A704_KIDNEY,-0.0337
MDAMB435S_SKIN,-0.0248
WM1799_SKIN,0.0017
MEWO_SKIN,0.0537
WM88_SKIN,-0.0519
NCIH2081_LUNG,-0.297
HS255T_LARGE_INTESTINE,
NCIH1092_LUNG,-0.0039
SW837_LARGE_INTESTINE,-0.0715
JHH6_LIVER,0.036
IGR1_SKIN,0.7168
NCIH1105_LUNG,-0.064
NCIH1436_LUNG,-0.6337
NCIH1876_LUNG,-0.0072
CORL24_LUNG,-0.0193
COV644_OVARY,0.0658
GP2D_LARGE_INTESTINE,0.0067
PECAPJ15_UPPER_AERODIGESTIVE_TRACT,-0.0016
CORL88_LUNG,0.0042
CORL95_LUNG,0.0032
PECAPJ49_UPPER_AERODIGESTIVE_TRACT,0.0418
PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT,0.0021
CORL51_LUNG,0.0041
RT11284_URINARY_TRACT,-0.0362
PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT,0.0036
OV7_OVARY,-0.0001
HT55_LARGE_INTESTINE,0.0002
OAW42_OVARY,0.214
MDST8_LARGE_INTESTINE,0.0231
OAW28_OVARY,0.0148
SUIT2_PANCREAS,0.4657
LC1SQSF_LUNG,-0.1993
KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0293
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.3134
SKHEP1_LIVER,-0.0713
OVCAR8_OVARY,-0.0553
NCIH2172_LUNG,0.2423
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM,-0.2765
NCIH596_LUNG,-0.0098
NCIH650_LUNG,0.9945
SW1573_LUNG,0.8367
OVMANA_OVARY,-0.0188
SKCO1_LARGE_INTESTINE,-0.0376
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0016
YAPC_PANCREAS,-1.0841
HT1197_URINARY_TRACT,0.0034
A253_SALIVARY_GLAND,0.0673
HCC366_LUNG,0.3236
DKMG_CENTRAL_NERVOUS_SYSTEM,-0.0283
SNU349_KIDNEY,0.002
UMUC1_URINARY_TRACT,-0.6482
NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0057
NCIH292_LUNG,0.017
59M_OVARY,0.2992
U118MG_CENTRAL_NERVOUS_SYSTEM,-0.0175
VMRCLCD_LUNG,-0.2368
HCC1833_LUNG,
RH30_SOFT_TISSUE,0.0943
TCCSUP_URINARY_TRACT,-0.0017
SNU601_STOMACH,-0.3474
CAL33_UPPER_AERODIGESTIVE_TRACT,1.9057
SNU668_STOMACH,0.294
CORL279_LUNG,-0.0175
GB1_CENTRAL_NERVOUS_SYSTEM,-0.1635
KURAMOCHI_OVARY,0.0154
COLO775_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.012
COLO684_ENDOMETRIUM,0.0021
KLM1_PANCREAS,0.3396
GRM_SKIN,0.0076
SNU685_ENDOMETRIUM,0.3486
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0226
SNU886_LIVER,0.0124
HCT8_LARGE_INTESTINE,
NCCSTCK140_STOMACH,0.6911
NCIH3255_LUNG,0.7772
SNU719_STOMACH,0.0728
SNU489_CENTRAL_NERVOUS_SYSTEM,-0.0109
SNU81_LARGE_INTESTINE,-0.0164
A2058_SKIN,0.0095
HTK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.8537
SNU1040_LARGE_INTESTINE,0.0046
SNU1076_UPPER_AERODIGESTIVE_TRACT,-0.0392
SNU175_LARGE_INTESTINE,0.0074
SNU407_LARGE_INTESTINE,0.0223
SNU201_CENTRAL_NERVOUS_SYSTEM,-0.0147
KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.3926
SNU216_STOMACH,-0.0607
SNU1196_BILIARY_TRACT,0.0205
SNU1079_BILIARY_TRACT,-0.3655
HCC1195_LUNG,-0.3226
NCIH854_LUNG,-0.0218
SNU466_CENTRAL_NERVOUS_SYSTEM,-0.0096
YD38_UPPER_AERODIGESTIVE_TRACT,0.2099
SNU1105_CENTRAL_NERVOUS_SYSTEM,-0.0066
SNU283_LARGE_INTESTINE,0.0114
SNU46_UPPER_AERODIGESTIVE_TRACT,-0.43
SNU308_BILIARY_TRACT,-0.9604
YD8_UPPER_AERODIGESTIVE_TRACT,0.1471
SNU245_BILIARY_TRACT,-0.7193
SNU478_BILIARY_TRACT,0.0359
SNU410_PANCREAS,-0.0344
SNU899_UPPER_AERODIGESTIVE_TRACT,-0.2213
SNU503_LARGE_INTESTINE,-0.0233
SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.4631
SNU738_CENTRAL_NERVOUS_SYSTEM,-0.1816
SNU626_CENTRAL_NERVOUS_SYSTEM,-0.0089
SNU869_BILIARY_TRACT,-0.1022
SNU878_LIVER,0.0022
SNU840_OVARY,0.0035
SNU8_OVARY,-0.0199
NCIH684_LIVER,
IGR39_SKIN,0.0465
ALEXANDERCELLS_LIVER,0.6605
DAOY_CENTRAL_NERVOUS_SYSTEM,0.0029
HEP3B217_LIVER,-0.0294
KYM1_SOFT_TISSUE,0.0007
LC1F_LUNG,-0.0513
HLE_LIVER,0.03
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-1.2315
JMSU1_URINARY_TRACT,-0.3644
IMR32_AUTONOMIC_GANGLIA,0.0412
SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0068
T3M4_PANCREAS,0.0039
COLO818_SKIN,0.0136
PK45H_PANCREAS,-0.3365
HEC59_ENDOMETRIUM,0.0541
CPCN_LUNG,-0.1638
T3M10_LUNG,-0.1885
NUGC2_STOMACH,-0.0049
PLCPRF5_LIVER,0.5012
KPNYN_AUTONOMIC_GANGLIA,0.0584
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,-0.005
NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.2693
KMRC3_KIDNEY,0.0035
NCIH2023_LUNG,0.1206
DMS153_LUNG,-0.2562
NCIH1048_LUNG,-0.0194
D341MED_CENTRAL_NERVOUS_SYSTEM,-0.0026
NCIH660_PROSTATE,-0.0121
NCIH1618_LUNG,0.6455
HS675T_LARGE_INTESTINE,0.0117
PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0138
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.1424
HT144_SKIN,0.0447
SKMEL31_SKIN,0.0751
HS839T_SKIN,0.0001
HS939T_SKIN,0.0117
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0002
HS819T_BONE,0.0023
NCIH69_LUNG,-0.0005
DV90_LUNG,-0.0166
ZR751_BREAST,-0.0647
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0061
SKNBE2_AUTONOMIC_GANGLIA,0.0165
HCC70_BREAST,-0.1814
NCIH2452_PLEURA,-0.0002
SNU1_STOMACH,0.0377
LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0142
HCC56_LARGE_INTESTINE,-0.0194
NCIH1648_LUNG,-0.3397
TO175T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0075
GLC82_LUNG,0.3129
MPP89_PLEURA,0.3721
PANC0813_PANCREAS,0.0097
MG63_BONE,0.1984
PK1_PANCREAS,-0.1522
HS840T_UPPER_AERODIGESTIVE_TRACT,0.0125
NCIH23_LUNG,-0.7166
TE617T_SOFT_TISSUE,-0.0073
SW1088_CENTRAL_NERVOUS_SYSTEM,-0.0009
ISTMES2_PLEURA,0.0051
NCIH1373_LUNG,-0.5095
NCIH1930_LUNG,-0.0388
NCIH1623_LUNG,-0.0002
HS229T_LUNG,0.0179
NCIH1838_LUNG,0.256
NCIH1836_LUNG,0.0015
HS688AT_SKIN,0.0058
PANC0504_PANCREAS,0.0202
HS822T_BONE,-0.0315
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0303
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0273
G292CLONEA141B1_BONE,-0.156
RCM1_LARGE_INTESTINE,0.0312
HS737T_BONE,-0.0082
HS616T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0066
HS600T_SKIN,-0.0042
TE159T_SOFT_TISSUE,-0.0196
A101D_SKIN,0.0045
NCIH1755_LUNG,-0.2714
143B_BONE,-0.6935
RERFLCKJ_LUNG,-0.0091
NCIH1693_LUNG,-0.0425
SW780_URINARY_TRACT,0.199
HS683_CENTRAL_NERVOUS_SYSTEM,0.0253
RKO_LARGE_INTESTINE,0.0099
HS729_SOFT_TISSUE,-0.1108
JHOS2_OVARY,-0.2035
MCF7_BREAST,-0.3517
U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0131
SKLMS1_SOFT_TISSUE,-0.6863
HUTU80_SMALL_INTESTINE,0.0291
HCC202_BREAST,-0.0082
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0377
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0166
ONS76_CENTRAL_NERVOUS_SYSTEM,-0.077
RPMI6666_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0102
SNUC1_LARGE_INTESTINE,-0.793
SKNDZ_AUTONOMIC_GANGLIA,-0.2852
DMS114_LUNG,0.1098
TT_OESOPHAGUS,0.4973
OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0013
ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0035
OC315_OVARY,
OC314_OVARY,-0.0504
SW1353_BONE,-0.0101
MDAMB157_BREAST,0.2277
LN18_CENTRAL_NERVOUS_SYSTEM,-0.5202
769P_KIDNEY,0.01
786O_KIDNEY,-0.0467
CAOV3_OVARY,-0.1025
HEPG2_LIVER,0.0208
MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0261
NCIH524_LUNG,-0.0166
NCIH209_LUNG,-0.0123
MIAPACA2_PANCREAS,0.33
MCAS_OVARY,0.0034
SBC5_LUNG,0.0257
COLO829_SKIN,-0.0036
VCAP_PROSTATE,0.3031
COLO704_OVARY,-0.0094
IPC298_SKIN,-0.0037
CAPAN2_PANCREAS,-0.008
EFM192A_BREAST,0.0061
HS766T_PANCREAS,0.0098
