Gene,ACE2
HS618T_LUNG,
HS870T_BONE,
HS706T_BONE,
PANC1_PANCREAS,
NCIH2291_LUNG,-0.727026598
T47D_BREAST,0.541317529
HS742T_BREAST,
BICR56_UPPER_AERODIGESTIVE_TRACT,0.040555304
BICR16_UPPER_AERODIGESTIVE_TRACT,
TE10_OESOPHAGUS,-0.334323173
SKMEL28_SKIN,
BICR6_UPPER_AERODIGESTIVE_TRACT,-1.012621887
BHY_UPPER_AERODIGESTIVE_TRACT,-0.505997234
AZ521_STOMACH,
SH4_SKIN,0.866523815
KPL1_BREAST,0.555181378
CGTHW1_THYROID,
TUHR4TKB_KIDNEY,0.02991579
LS123_LARGE_INTESTINE,
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.009033704
HPAC_PANCREAS,0.321397273
RCC10RGB_KIDNEY,
JHOM1_OVARY,0.176698301
SU8686_PANCREAS,-0.783274214
HCC33_LUNG,0.111102489
TE6_OESOPHAGUS,-0.641070734
JHOC5_OVARY,-0.514711654
ACCMESO1_PLEURA,
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
SNU1214_UPPER_AERODIGESTIVE_TRACT,
CORL105_LUNG,-0.541647132
LMSU_STOMACH,
SNU1197_LARGE_INTESTINE,
COLO668_LUNG,
OSRC2_KIDNEY,0.144058839
HUH6_LIVER,
PANC0203_PANCREAS,
CJM_SKIN,0.260950891
BICR22_UPPER_AERODIGESTIVE_TRACT,-0.299346662
SHSY5Y_AUTONOMIC_GANGLIA,
TM31_CENTRAL_NERVOUS_SYSTEM,
SNU1272_KIDNEY,
KPNRTBM1_AUTONOMIC_GANGLIA,
BICR18_UPPER_AERODIGESTIVE_TRACT,
TE4_OESOPHAGUS,-0.034079737
PCM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
ECC10_STOMACH,-0.00415759
TUHR14TKB_KIDNEY,-0.346681804
YD15_SALIVARY_GLAND,
UBLC1_URINARY_TRACT,
ECGI10_OESOPHAGUS,-0.142645558
CW2_LARGE_INTESTINE,
SNU761_LIVER,
SNU61_LARGE_INTESTINE,
NCIH1915_LUNG,-0.603440287
SNU324_PANCREAS,
YD10B_UPPER_AERODIGESTIVE_TRACT,
HCC2279_LUNG,
HLC1_LUNG,0.430802847
TUHR10TKB_KIDNEY,-0.210934917
HEC1B_ENDOMETRIUM,
VMRCLCP_LUNG,
TGBC11TKB_STOMACH,
OVK18_OVARY,
SNU1077_ENDOMETRIUM,
HCC1588_LUNG,
SNU213_PANCREAS,
HT115_LARGE_INTESTINE,
TE14_OESOPHAGUS,
TE8_OESOPHAGUS,-0.97697199
SNU520_STOMACH,
JHUEM3_ENDOMETRIUM,
LI7_LIVER,
NCIH838_LUNG,0.053072379
SNU119_OVARY,
SNU1033_LARGE_INTESTINE,
SNUC5_LARGE_INTESTINE,
GSS_STOMACH,-0.732572138
TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
HCC1171_LUNG,
SNUC4_LARGE_INTESTINE,
U138MG_CENTRAL_NERVOUS_SYSTEM,
SNU620_STOMACH,
ECC12_STOMACH,
GSU_STOMACH,-0.211093361
KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.864543265
JHOM2B_OVARY,
MDAMB231_BREAST,-0.714351079
OV90_OVARY,-0.582446459
RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.111815487
OVTOKO_OVARY,0.219200901
OVCAR4_OVARY,0.558746368
HLF_LIVER,0.93940805
HCT15_LARGE_INTESTINE,
SW1463_LARGE_INTESTINE,
SF295_CENTRAL_NERVOUS_SYSTEM,-0.366328859
WM115_SKIN,-0.169184926
JHH4_LIVER,
OE33_OESOPHAGUS,-0.364467142
CCK81_LARGE_INTESTINE,
JHH1_LIVER,-0.127593379
SJSA1_BONE,-0.374092614
NCIH2228_LUNG,
RERFLCAI_LUNG,-0.42360636
SKMES1_LUNG,-0.528179393
NCIH520_LUNG,0.01810379
JHH5_LIVER,-0.292929681
FU97_STOMACH,-0.442619639
COLO800_SKIN,0.353957513
NCIH1963_LUNG,
RL952_ENDOMETRIUM,-0.599083077
J82_URINARY_TRACT,
HCC15_LUNG,-0.458067928
M059K_CENTRAL_NERVOUS_SYSTEM,0.116925306
CALU6_LUNG,-0.120225734
SKLU1_LUNG,
SW900_LUNG,
UACC62_SKIN,
MFE280_ENDOMETRIUM,-0.305644811
MFE319_ENDOMETRIUM,
MFE296_ENDOMETRIUM,
GOS3_CENTRAL_NERVOUS_SYSTEM,
GI1_CENTRAL_NERVOUS_SYSTEM,
PC14_LUNG,-0.486587846
KYSE410_OESOPHAGUS,
A204_SOFT_TISSUE,0.215041746
PATU8902_PANCREAS,
NCIH810_LUNG,
RERFLCMS_LUNG,
L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
DANG_PANCREAS,
NCIH460_LUNG,0.221141839
KYSE140_OESOPHAGUS,-0.053520814
KYSE180_OESOPHAGUS,-0.24959525
HUPT3_PANCREAS,0.088761887
EFE184_ENDOMETRIUM,-0.22772998
GCIY_STOMACH,
SH10TC_STOMACH,
CAOV4_OVARY,1.020214484
HCC2218_BREAST,0.08650406
KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
KNS60_CENTRAL_NERVOUS_SYSTEM,-0.378014103
KNS81_CENTRAL_NERVOUS_SYSTEM,-0.277283337
KPNSI9S_AUTONOMIC_GANGLIA,
LU99_LUNG,0.174400863
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
MKN1_STOMACH,-1.157994246
MKN74_STOMACH,
KP3_PANCREAS,
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
HSC2_UPPER_AERODIGESTIVE_TRACT,-0.573732039
KG1C_CENTRAL_NERVOUS_SYSTEM,
HUH7_LIVER,
KMBC2_URINARY_TRACT,
KMRC20_KIDNEY,
HUCCT1_BILIARY_TRACT,
KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.108686219
KALS1_CENTRAL_NERVOUS_SYSTEM,0.544486409
HEC108_ENDOMETRIUM,
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
HUH28_BILIARY_TRACT,
CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
HEC265_ENDOMETRIUM,
CAL12T_LUNG,-0.484607296
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.499329872
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.466782347
SKNSH_AUTONOMIC_GANGLIA,
HCC1954_BREAST,-0.681870061
CAMA1_BREAST,
HEC6_ENDOMETRIUM,
AM38_CENTRAL_NERVOUS_SYSTEM,0.034625537
HEC50B_ENDOMETRIUM,0.074779205
HSC3_UPPER_AERODIGESTIVE_TRACT,0.323219379
HSC4_UPPER_AERODIGESTIVE_TRACT,
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
KP4_PANCREAS,-0.454502938
KE39_STOMACH,0.331656521
COV504_OVARY,-0.448561289
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
VMRCRCW_KIDNEY,
HGC27_STOMACH,0.223835387
LUDLU1_LUNG,-0.491341165
HUG1N_STOMACH,-0.1280291
U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
NUGC4_STOMACH,
BGC823_STOMACH,
HMC18_BREAST,
CAS1_CENTRAL_NERVOUS_SYSTEM,0.135265198
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.501640025
CORL23_LUNG,-0.220679222
MORCPR_LUNG,0.512005391
HARA_LUNG,
SKOV3_OVARY,-0.044172619
HPAFII_PANCREAS,-0.496490595
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
NCIH1568_LUNG,0.783736831
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
A498_KIDNEY,
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
A673_BONE,0.372218182
AU565_BREAST,0.763931333
COLO201_LARGE_INTESTINE,
CAPAN1_PANCREAS,
NCIH1563_LUNG,
NCIH358_LUNG,0.174519696
CFPAC1_PANCREAS,-0.314913784
NIHOVCAR3_OVARY,-0.573732039
NCIH1650_LUNG,-0.035596838
NCIH1793_LUNG,
NCIH1437_LUNG,-0.013905856
KNS62_LUNG,-0.656915133
HS578T_BREAST,0.168181936
BT20_BREAST,-0.228799477
SNU182_LIVER,
SKNMC_BONE,
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
FADU_UPPER_AERODIGESTIVE_TRACT,-0.640278514
SJRH30_SOFT_TISSUE,
MDAMB361_BREAST,0.651832211
MDAMB436_BREAST,0.135978196
PANC0213_PANCREAS,
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.307744194
RDES_BONE,1.085572629
CAL27_UPPER_AERODIGESTIVE_TRACT,-0.450937948
MESSA_SOFT_TISSUE,
SW1271_LUNG,0.022663016
NCIH1792_LUNG,-0.745247657
GCT_SOFT_TISSUE,
SKBR3_BREAST,
SNU16_STOMACH,
NCIH82_LUNG,
NCIN87_STOMACH,-0.231651468
U2OS_BONE,0.342193047
H4_CENTRAL_NERVOUS_SYSTEM,
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
HCC1143_BREAST,-0.803475822
T24_URINARY_TRACT,
G401_SOFT_TISSUE,-0.021503246
HCC1937_BREAST,-0.713954969
HCC1569_BREAST,0.391904848
OCUM1_STOMACH,
SAOS2_BONE,-0.552738211
D283MED_CENTRAL_NERVOUS_SYSTEM,-0.044766784
SCC9_UPPER_AERODIGESTIVE_TRACT,
HCC1395_BREAST,0.733034755
NMCG1_CENTRAL_NERVOUS_SYSTEM,
TEN_ENDOMETRIUM,
HS604T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
TE9_OESOPHAGUS,-0.085843388
KNS42_CENTRAL_NERVOUS_SYSTEM,
KYSE520_OESOPHAGUS,-0.337293998
KYSE270_OESOPHAGUS,
JHUEM1_ENDOMETRIUM,
YH13_CENTRAL_NERVOUS_SYSTEM,
IALM_LUNG,0.645098341
NCIH2052_PLEURA,-0.662064563
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
SKNFI_AUTONOMIC_GANGLIA,
SKNAS_AUTONOMIC_GANGLIA,
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
SNU398_LIVER,
SNU423_LIVER,
SCC4_UPPER_AERODIGESTIVE_TRACT,-0.048450607
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
HCC1187_BREAST,0.52943423
SNU387_LIVER,
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
C2BBE1_LARGE_INTESTINE,-0.212836245
SKES1_BONE,-0.137852627
EPLC272H_LUNG,-0.04025113
BXPC3_PANCREAS,-0.56382929
NCIH1355_LUNG,0.565876347
SNU5_STOMACH,-0.600271407
SNU475_LIVER,
HEC251_ENDOMETRIUM,0.050576886
HCC95_LUNG,0.297274176
253J_URINARY_TRACT,
HCC1438_LUNG,
253JBV_URINARY_TRACT,
RPMI7951_SKIN,
SNU1066_UPPER_AERODIGESTIVE_TRACT,
SNU1041_UPPER_AERODIGESTIVE_TRACT,
HCC2108_LUNG,
COLO783_SKIN,0.465660524
HCC1359_LUNG,0.835231127
BICR31_UPPER_AERODIGESTIVE_TRACT,
COV362_OVARY,-0.83476851
COLO792_SKIN,
COV434_OVARY,-0.039538133
WM983B_SKIN,0.213417695
HS751T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
LS513_LARGE_INTESTINE,-0.106520329
NCIH2110_LUNG,0.118390913
CHAGOK1_LUNG,-0.450145728
DMS454_LUNG,
CORL47_LUNG,
FTC238_THYROID,
DMS273_LUNG,-0.254427792
FTC133_THYROID,
CORL311_LUNG,
NCIH2286_LUNG,-0.147755377
NCIH1339_LUNG,0.132769705
WM793_SKIN,0.20688188
A704_KIDNEY,0.309910084
MDAMB435S_SKIN,0.780567951
WM1799_SKIN,0.709664267
MEWO_SKIN,-0.005088448
WM88_SKIN,0.456153885
NCIH2081_LUNG,
HS255T_LARGE_INTESTINE,
NCIH1092_LUNG,
SW837_LARGE_INTESTINE,-0.488172286
JHH6_LIVER,
IGR1_SKIN,1.261841566
NCIH1105_LUNG,0.852659966
NCIH1436_LUNG,
NCIH1876_LUNG,1.001201205
CORL24_LUNG,
COV644_OVARY,0.545674739
GP2D_LARGE_INTESTINE,-0.672363422
PECAPJ15_UPPER_AERODIGESTIVE_TRACT,
CORL88_LUNG,1.234906088
CORL95_LUNG,
PECAPJ49_UPPER_AERODIGESTIVE_TRACT,-0.276570339
PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT,-0.693753361
CORL51_LUNG,
RT11284_URINARY_TRACT,
PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT,
OV7_OVARY,0.376258504
HT55_LARGE_INTESTINE,-1.262963389
OAW42_OVARY,1.048734402
MDST8_LARGE_INTESTINE,
OAW28_OVARY,
SUIT2_PANCREAS,
LC1SQSF_LUNG,0.125877391
KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.066262841
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
SKHEP1_LIVER,-0.27423329
OVCAR8_OVARY,-0.531744382
NCIH2172_LUNG,
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM,
NCIH596_LUNG,
NCIH650_LUNG,-0.473912327
SW1573_LUNG,0.13732497
OVMANA_OVARY,
SKCO1_LARGE_INTESTINE,1.087949289
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
YAPC_PANCREAS,
HT1197_URINARY_TRACT,-1.10966883
A253_SALIVARY_GLAND,
HCC366_LUNG,-0.356742997
DKMG_CENTRAL_NERVOUS_SYSTEM,0.741353064
SNU349_KIDNEY,0.611428994
UMUC1_URINARY_TRACT,
NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
NCIH292_LUNG,-0.98014087
59M_OVARY,
U118MG_CENTRAL_NERVOUS_SYSTEM,-0.6953378
VMRCLCD_LUNG,
HCC1833_LUNG,
RH30_SOFT_TISSUE,0.364612871
TCCSUP_URINARY_TRACT,-0.054709144
SNU601_STOMACH,0.506459851
CAL33_UPPER_AERODIGESTIVE_TRACT,-0.392234451
SNU668_STOMACH,
CORL279_LUNG,0.186838716
GB1_CENTRAL_NERVOUS_SYSTEM,-0.43232078
KURAMOCHI_OVARY,0.12940277
COLO775_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
COLO684_ENDOMETRIUM,0.482297143
KLM1_PANCREAS,
GRM_SKIN,
SNU685_ENDOMETRIUM,-0.450937948
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
SNU886_LIVER,
HCT8_LARGE_INTESTINE,
NCCSTCK140_STOMACH,0.441497816
NCIH3255_LUNG,-0.250308248
SNU719_STOMACH,-0.214301852
SNU489_CENTRAL_NERVOUS_SYSTEM,
SNU81_LARGE_INTESTINE,
A2058_SKIN,1.222626679
HTK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
SNU1040_LARGE_INTESTINE,
SNU1076_UPPER_AERODIGESTIVE_TRACT,0.499725982
SNU175_LARGE_INTESTINE,
SNU407_LARGE_INTESTINE,
SNU201_CENTRAL_NERVOUS_SYSTEM,
KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
SNU216_STOMACH,-0.315111839
SNU1196_BILIARY_TRACT,
SNU1079_BILIARY_TRACT,
HCC1195_LUNG,
NCIH854_LUNG,0.244829216
SNU466_CENTRAL_NERVOUS_SYSTEM,
YD38_UPPER_AERODIGESTIVE_TRACT,0.042773519
SNU1105_CENTRAL_NERVOUS_SYSTEM,1.136274705
SNU283_LARGE_INTESTINE,
SNU46_UPPER_AERODIGESTIVE_TRACT,
SNU308_BILIARY_TRACT,
YD8_UPPER_AERODIGESTIVE_TRACT,-0.465197907
SNU245_BILIARY_TRACT,
SNU478_BILIARY_TRACT,
SNU410_PANCREAS,
SNU899_UPPER_AERODIGESTIVE_TRACT,
SNU503_LARGE_INTESTINE,
SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
SNU738_CENTRAL_NERVOUS_SYSTEM,
SNU626_CENTRAL_NERVOUS_SYSTEM,
SNU869_BILIARY_TRACT,
SNU878_LIVER,
SNU840_OVARY,-0.600271407
SNU8_OVARY,-0.616115806
NCIH684_LIVER,
IGR39_SKIN,0.330903912
ALEXANDERCELLS_LIVER,
DAOY_CENTRAL_NERVOUS_SYSTEM,
HEP3B217_LIVER,0.628065613
KYM1_SOFT_TISSUE,
LC1F_LUNG,
HLE_LIVER,
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
JMSU1_URINARY_TRACT,
IMR32_AUTONOMIC_GANGLIA,
SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
T3M4_PANCREAS,
COLO818_SKIN,
PK45H_PANCREAS,
HEC59_ENDOMETRIUM,0.243918163
CPCN_LUNG,
T3M10_LUNG,
NUGC2_STOMACH,
PLCPRF5_LIVER,-0.021582468
KPNYN_AUTONOMIC_GANGLIA,
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,
NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
KMRC3_KIDNEY,
NCIH2023_LUNG,-0.514711654
DMS153_LUNG,
NCIH1048_LUNG,-0.38189598
D341MED_CENTRAL_NERVOUS_SYSTEM,-0.473516217
NCIH660_PROSTATE,-0.678305072
NCIH1618_LUNG,
HS675T_LARGE_INTESTINE,
PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
HT144_SKIN,0.455757775
SKMEL31_SKIN,
HS839T_SKIN,
HS939T_SKIN,
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
HS819T_BONE,
NCIH69_LUNG,
DV90_LUNG,
ZR751_BREAST,0.124847505
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
SKNBE2_AUTONOMIC_GANGLIA,
HCC70_BREAST,-0.323390538
NCIH2452_PLEURA,0.329874026
SNU1_STOMACH,
LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
HCC56_LARGE_INTESTINE,
NCIH1648_LUNG,-0.440242979
TO175T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
GLC82_LUNG,
MPP89_PLEURA,
PANC0813_PANCREAS,-0.049480493
MG63_BONE,
PK1_PANCREAS,
HS840T_UPPER_AERODIGESTIVE_TRACT,
NCIH23_LUNG,-0.250664747
TE617T_SOFT_TISSUE,
SW1088_CENTRAL_NERVOUS_SYSTEM,
ISTMES2_PLEURA,
NCIH1373_LUNG,-0.370646457
NCIH1930_LUNG,
NCIH1623_LUNG,-0.095587693
HS229T_LUNG,
NCIH1838_LUNG,
NCIH1836_LUNG,0.698573187
HS688AT_SKIN,
PANC0504_PANCREAS,
HS822T_BONE,
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
G292CLONEA141B1_BONE,
RCM1_LARGE_INTESTINE,
HS737T_BONE,
HS616T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
HS600T_SKIN,
TE159T_SOFT_TISSUE,
A101D_SKIN,
NCIH1755_LUNG,
143B_BONE,-0.339551825
RERFLCKJ_LUNG,
NCIH1693_LUNG,-0.321568432
SW780_URINARY_TRACT,
HS683_CENTRAL_NERVOUS_SYSTEM,0.154714197
RKO_LARGE_INTESTINE,0.161725344
HS729_SOFT_TISSUE,
JHOS2_OVARY,-0.125414774
MCF7_BREAST,0.146316666
U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.100624808
SKLMS1_SOFT_TISSUE,
HUTU80_SMALL_INTESTINE,-0.277877502
HCC202_BREAST,0.9374275
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.392868227
ONS76_CENTRAL_NERVOUS_SYSTEM,
RPMI6666_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
SNUC1_LARGE_INTESTINE,0.133324259
SKNDZ_AUTONOMIC_GANGLIA,
DMS114_LUNG,-0.239137947
TT_OESOPHAGUS,-0.257596672
OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
OC315_OVARY,
OC314_OVARY,0.25928723
SW1353_BONE,
MDAMB157_BREAST,-0.901314985
LN18_CENTRAL_NERVOUS_SYSTEM,-0.200952946
769P_KIDNEY,-0.507581674
786O_KIDNEY,-1.322379884
CAOV3_OVARY,-0.882697817
HEPG2_LIVER,
MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
NCIH524_LUNG,
NCIH209_LUNG,0.299096282
MIAPACA2_PANCREAS,0.046298898
MCAS_OVARY,
SBC5_LUNG,
COLO829_SKIN,1.197671751
VCAP_PROSTATE,-0.138209126
COLO704_OVARY,-0.009746702
IPC298_SKIN,-0.447372959
CAPAN2_PANCREAS,
EFM192A_BREAST,
HS766T_PANCREAS,0.649059441
EFO27_OVARY,-0.122047839
A2780_OVARY,
NCIH196_LUNG,0.782152391
IGROV1_OVARY,-0.472723997
NCIH889_LUNG,
NCIH211_LUNG,-0.279501553
HS571T_OVARY,
MDAPCA2B_PROSTATE,-0.023566978
SKMEL24_SKIN,
K029AX_SKIN,1.180639022
HT1376_URINARY_TRACT,
NCIH2171_LUNG,0.879991554
PANC1005_PANCREAS,0.557161928
EVSAT_BREAST,
HS695T_SKIN,
CHL1_SKIN,
LOUNH91_LUNG,-0.497678925
LK2_LUNG,0.774626302
TOV21G_OVARY,0.456549995
SKMEL3_SKIN,0.441497816
ASPC1_PANCREAS,0.489823233
OVSAHO_OVARY,
NCIH441_LUNG,-0.389065571
RERFLCSQ1_LUNG,
NCIH2030_LUNG,0.460114985
HMCB_SKIN,
FUOV1_OVARY,
MALME3M_SKIN,
KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.450608346
T98G_CENTRAL_NERVOUS_SYSTEM,-0.891412236
HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.054431867
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,1.391369527
HEYA8_OVARY,-0.38625319
NCIH2122_LUNG,0.35027369
MELJUSO_SKIN,0.370911019
SW620_LARGE_INTESTINE,-0.0545507
HCT116_LARGE_INTESTINE,0.594000155
VMRCRCZ_KIDNEY,
DU145_PROSTATE,-1.118383249
MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.006153153
L33_PANCREAS,-0.723461608
SKMEL2_SKIN,0.401094599
A549_LUNG,-0.103074172
A172_CENTRAL_NERVOUS_SYSTEM,0.393291233
NCIH1975_LUNG,-0.391442231
COLO679_SKIN,0.712833146
KP2_PANCREAS,0.651039991
HUH1_LIVER,-0.282908099
MDAMB453_BREAST,-0.174968132
PANC0403_PANCREAS,
TYKNU_OVARY,0.119777298
OVISE_OVARY,0.127065721
EFM19_BREAST,0.174123586
MELHO_SKIN,0.416542888
RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
G361_SKIN,-0.347236358
NCIH647_LUNG,-0.782481994
GMS10_CENTRAL_NERVOUS_SYSTEM,
SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.326995138
HLFA_LUNG,
42MGBA_CENTRAL_NERVOUS_SYSTEM,
KCIMOH1_PANCREAS,
HCC44_LUNG,0.65816997
KYSE70_OESOPHAGUS,-0.075069197
1321N1_CENTRAL_NERVOUS_SYSTEM,
